epoch,time,train/loss_total,train/acc,train/loss_cls,train/loss_cont,val/loss_total,val/acc,metrics/precision,metrics/recall,metrics/f1,lr/pg0
1,47.5,0.5047,0.9142,0.3422,0.3251,0.2805,0.9617,0.9420,0.9622,0.9514,0.000100
2,91.8,0.3003,0.9662,0.2617,0.0772,0.2722,0.9643,0.9449,0.9661,0.9548,0.000099
3,136.6,0.2700,0.9754,0.2472,0.0455,0.2613,0.9687,0.9513,0.9702,0.9602,0.000098
4,180.8,0.2570,0.9815,0.2386,0.0368,0.2621,0.9661,0.9477,0.9673,0.9569,0.000096
5,226.3,0.2459,0.9852,0.2317,0.0285,0.2885,0.9521,0.9255,0.9590,0.9403,0.000093
6,270.9,0.2400,0.9881,0.2283,0.0235,0.2579,0.9695,0.9527,0.9707,0.9612,0.000091
7,317.2,0.2334,0.9888,0.2236,0.0197,0.2733,0.9591,0.9355,0.9648,0.9487,0.000087
8,363.5,0.2318,0.9912,0.2226,0.0183,0.2544,0.9739,0.9601,0.9737,0.9666,0.000084
9,409.6,0.2243,0.9938,0.2176,0.0132,0.2676,0.9652,0.9450,0.9689,0.9560,0.000080
10,458.1,0.2238,0.9933,0.2172,0.0131,0.2990,0.9469,0.9172,0.9576,0.9344,0.000075
