epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.337,0.18372,0.772,0.94152,0.67516,0.54807,0.53434,0.45831,0.39094,1.55046,0.84564,0.000553802,0.000553802,0.000553802
2,288.526,0.1687,0.61213,0.91583,0.84268,0.87086,0.93854,0.93687,0.22243,0.47753,0.52169,0.0010875,0.0010875,0.0010875
3,412.685,0.14359,0.53928,0.903,0.21398,0.53565,0.31911,0.14445,2.16294,3.72255,2.97285,0.0015992,0.0015992,0.0015992
4,536.979,0.1299,0.51627,0.89495,0.90094,0.87561,0.93587,0.9296,0.17443,0.39726,0.45881,0.00156798,0.00156798,0.00156798
5,661.833,0.11369,0.47149,0.88779,0.90868,0.88634,0.94669,0.92993,0.18393,0.36627,0.45164,0.00153497,0.00153497,0.00153497
6,786.231,0.0988,0.43847,0.88295,0.86234,0.91122,0.96415,0.96322,0.09358,0.31951,0.36563,0.00150197,0.00150197,0.00150197
7,913.522,0.09109,0.42295,0.88117,0.94639,0.93863,0.97529,0.97448,0.09816,0.21161,0.3698,0.00146896,0.00146896,0.00146896
8,1039.49,0.08261,0.40088,0.87924,0.94722,0.94717,0.97874,0.97813,0.1305,0.22728,0.40419,0.00143595,0.00143595,0.00143595
9,1163.34,0.08002,0.38303,0.87566,0.76882,0.85605,0.97114,0.97087,0.0909,0.54385,0.36334,0.00140295,0.00140295,0.00140295
10,1290.97,0.07522,0.3756,0.87713,0.94373,0.95388,0.98018,0.98018,0.12908,0.26871,0.41587,0.00136994,0.00136994,0.00136994
11,1416.22,0.07036,0.35964,0.87806,0.96805,0.9338,0.98361,0.98361,0.10381,0.19884,0.38348,0.00133693,0.00133693,0.00133693
12,1540.85,0.06653,0.35256,0.87608,0.96605,0.95876,0.98409,0.98393,0.08048,0.17715,0.36009,0.00130393,0.00130393,0.00130393
13,1665.17,0.07131,0.35184,0.8767,0.93843,0.93339,0.98296,0.98288,0.09327,0.26903,0.37629,0.00127092,0.00127092,0.00127092
14,1788.75,0.06584,0.33721,0.87375,0.94935,0.96636,0.98138,0.9812,0.07678,0.18658,0.35837,0.00123791,0.00123791,0.00123791
15,1914.85,0.06147,0.33433,0.87232,0.94423,0.9713,0.98079,0.97993,0.10391,0.18717,0.37199,0.00120491,0.00120491,0.00120491
16,2039.04,0.06064,0.3287,0.8725,0.95278,0.93685,0.98328,0.98285,0.08661,0.21977,0.3611,0.0011719,0.0011719,0.0011719
17,2162.92,0.06403,0.32565,0.8725,0.97018,0.95117,0.98097,0.98059,0.10656,0.21706,0.38864,0.00113889,0.00113889,0.00113889
18,2286.2,0.06723,0.33176,0.87561,0.94889,0.96287,0.97907,0.97851,0.10684,0.23286,0.37923,0.00110589,0.00110589,0.00110589
19,2411.75,0.05866,0.31651,0.87198,0.93743,0.95497,0.98448,0.98378,0.07886,0.27955,0.36633,0.00107288,0.00107288,0.00107288
20,2537.29,0.05192,0.30514,0.87427,0.96645,0.95764,0.98686,0.98648,0.07312,0.19193,0.33894,0.00103987,0.00103987,0.00103987
21,2664.86,0.0504,0.29612,0.86978,0.96968,0.95931,0.98644,0.98644,0.06687,0.1749,0.34401,0.00100687,0.00100687,0.00100687
22,2791.96,0.05221,0.29669,0.87481,0.95789,0.94294,0.98671,0.98589,0.07293,0.22322,0.3396,0.000973861,0.000973861,0.000973861
23,2917.35,0.05065,0.29021,0.8698,0.94859,0.94839,0.98367,0.98327,0.05431,0.19946,0.33369,0.000940855,0.000940855,0.000940855
24,3040.9,0.04714,0.29052,0.86968,0.93263,0.95432,0.98288,0.98238,0.06421,0.23201,0.34042,0.000907848,0.000907848,0.000907848
25,3164.54,0.04617,0.28697,0.86954,0.95363,0.94756,0.98768,0.98694,0.08317,0.21656,0.34924,0.000874842,0.000874842,0.000874842
26,3289.17,0.04529,0.27557,0.87094,0.96886,0.95797,0.98626,0.98619,0.04964,0.16155,0.32335,0.000841835,0.000841835,0.000841835
27,3413.07,0.04368,0.27629,0.86837,0.961,0.96419,0.98701,0.98627,0.05661,0.188,0.33322,0.000808828,0.000808828,0.000808828
28,3536.48,0.04274,0.27434,0.86959,0.96171,0.96314,0.987,0.98619,0.05674,0.18925,0.31909,0.000775822,0.000775822,0.000775822
29,3658.7,0.04438,0.26755,0.86662,0.94791,0.95032,0.98664,0.98643,0.04939,0.20955,0.32779,0.000742815,0.000742815,0.000742815
30,3782.58,0.0394,0.26237,0.8677,0.96396,0.96352,0.9873,0.98717,0.05047,0.17496,0.31837,0.000709809,0.000709809,0.000709809
31,3907.23,0.03903,0.2642,0.86647,0.96117,0.96387,0.98722,0.98722,0.05391,0.16655,0.32387,0.000676802,0.000676802,0.000676802
32,4031.18,0.03673,0.25682,0.86784,0.97127,0.95532,0.98713,0.98713,0.0464,0.16421,0.32205,0.000643795,0.000643795,0.000643795
33,4157,0.03769,0.26322,0.86797,0.96388,0.95366,0.98813,0.98813,0.03767,0.16646,0.31425,0.000610789,0.000610789,0.000610789
34,4281.9,0.03524,0.25598,0.87013,0.95921,0.96544,0.98652,0.98625,0.05886,0.16961,0.31961,0.000577782,0.000577782,0.000577782
35,4406.05,0.03364,0.24751,0.86937,0.96755,0.96438,0.98711,0.98708,0.03804,0.14438,0.31248,0.000544776,0.000544776,0.000544776
36,4530.18,0.03186,0.24384,0.86799,0.97096,0.95841,0.98954,0.9895,0.04717,0.15032,0.31572,0.000511769,0.000511769,0.000511769
37,4653.81,0.0327,0.23987,0.86905,0.97224,0.96269,0.98924,0.98924,0.04949,0.13384,0.32573,0.000478762,0.000478762,0.000478762
38,4779.87,0.03124,0.23591,0.86593,0.96802,0.9586,0.98846,0.98846,0.04615,0.16186,0.3266,0.000445756,0.000445756,0.000445756
39,4903.45,inf,0.23765,0.8705,0.96351,0.96016,0.98793,0.98793,0.04179,0.16919,0.31851,0.000412749,0.000412749,0.000412749
40,5027.38,0.03055,0.23256,0.86732,0.96415,0.96986,0.98849,0.98849,0.07572,0.20558,0.36127,0.000379743,0.000379743,0.000379743
41,5155.78,0.03842,0.097,0.86226,0.9589,0.97236,0.98714,0.98712,0.08288,0.21318,0.36711,0.000346736,0.000346736,0.000346736
42,5279.82,0.03196,0.08401,0.85564,0.9644,0.97076,0.98898,0.98898,0.11688,0.25821,0.41294,0.000313729,0.000313729,0.000313729
43,5403.34,0.02653,0.08078,0.85043,0.96079,0.97138,0.98944,0.98944,0.10924,0.25046,0.40812,0.000280723,0.000280723,0.000280723
44,5526.03,0.02286,0.06658,0.85242,0.96415,0.95937,0.98814,0.98814,0.1104,0.26722,0.41161,0.000247716,0.000247716,0.000247716
45,5648.38,0.0221,0.0585,0.85022,0.96591,0.96375,0.98916,0.98916,0.10692,0.27161,0.4139,0.00021471,0.00021471,0.00021471
46,5771.71,0.01948,0.05667,0.85281,0.96626,0.963,0.9899,0.9899,0.1022,0.2671,0.40928,0.000181703,0.000181703,0.000181703
47,5895.5,0.01779,0.05194,0.85212,0.96586,0.96956,0.99057,0.99057,0.09732,0.25497,0.40244,0.000148696,0.000148696,0.000148696
48,6021.11,0.0164,0.04872,0.84919,0.96131,0.97093,0.9905,0.9905,0.09577,0.26594,0.3996,0.00011569,0.00011569,0.00011569
49,6145.93,0.01563,0.04428,0.84852,0.96281,0.96886,0.9903,0.9903,0.09705,0.26777,0.39967,8.26832e-05,8.26832e-05,8.26832e-05
50,6270.08,inf,0.0399,0.84953,0.9613,0.96698,0.9908,0.9908,0.09578,0.27748,0.39801,4.96766e-05,4.96766e-05,4.96766e-05
