epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.989,0.15142,0.69649,0.94234,0.88094,0.9005,0.96685,0.96682,0.11568,0.40643,0.42055,0.00332612,0.00332612,0.00332612
2,459.941,0.18562,0.43959,0.91541,0.88482,0.92213,0.96104,0.94836,0.24993,0.55743,0.51838,0.00652759,0.00652759,0.00652759
3,660.589,0.20763,0.45879,0.91742,0.83671,0.88218,0.9312,0.87439,0.26435,0.58957,0.57698,0.00959707,0.00959707,0.00959707
4,858.596,0.18739,0.45913,0.91323,0.91929,0.93003,0.9701,0.96689,0.14799,0.36169,0.44543,0.009406,0.009406,0.009406
5,1055.97,0.1453,0.40718,0.89619,0.93091,0.93862,0.97399,0.97269,0.13201,0.30892,0.43325,0.009208,0.009208,0.009208
6,1253.51,0.12253,0.36828,0.88811,0.89444,0.90554,0.97357,0.96788,0.13772,0.41858,0.43068,0.00901,0.00901,0.00901
7,1451.28,0.11271,0.35379,0.88568,0.96034,0.96658,0.98611,0.98421,0.16643,0.31379,0.46899,0.008812,0.008812,0.008812
8,1650.33,0.10137,0.33398,0.88199,0.93557,0.94033,0.98512,0.98494,0.17986,0.3593,0.46611,0.008614,0.008614,0.008614
9,1856.85,0.09246,0.32238,0.8804,0.92695,0.92846,0.98569,0.98557,0.10918,0.32147,0.41343,0.008416,0.008416,0.008416
10,2062.42,0.085,0.30881,0.87928,0.9611,0.96446,0.98754,0.98657,0.14132,0.2935,0.42705,0.008218,0.008218,0.008218
11,2260.51,0.07911,0.30218,0.87931,0.9465,0.93929,0.98097,0.9809,0.12109,0.35945,0.40395,0.00802,0.00802,0.00802
12,2454.2,0.07655,0.29414,0.87673,0.95567,0.96059,0.98655,0.98647,0.11993,0.27014,0.42235,0.007822,0.007822,0.007822
13,2647.36,0.07291,0.2865,0.87503,0.96748,0.97545,0.98739,0.98582,0.15085,0.38937,0.43004,0.007624,0.007624,0.007624
14,2844.76,0.06793,0.27682,0.87328,0.95428,0.95656,0.98154,0.98152,0.11084,0.28937,0.40787,0.007426,0.007426,0.007426
15,3036.68,0.06717,0.27574,0.87558,0.96872,0.97166,0.98819,0.98797,0.10149,0.23974,0.39817,0.007228,0.007228,0.007228
16,3227.49,0.06448,0.26932,0.87648,0.96071,0.97608,0.98632,0.98629,0.09262,0.21574,0.38388,0.00703,0.00703,0.00703
17,3421.34,0.06178,0.26982,0.87427,0.97097,0.97493,0.98684,0.98684,0.09776,0.23778,0.38837,0.006832,0.006832,0.006832
18,3616.05,0.05711,0.25775,0.87422,0.97336,0.97342,0.98504,0.98501,0.10537,0.22439,0.40818,0.006634,0.006634,0.006634
19,3808.11,0.05577,0.25193,0.8743,0.9733,0.96671,0.98997,0.98997,0.10281,0.25228,0.40842,0.006436,0.006436,0.006436
20,4000.94,0.05412,0.24934,0.87362,0.96107,0.96907,0.99036,0.99013,0.11834,0.26697,0.41243,0.006238,0.006238,0.006238
21,4192.77,inf,0.24495,0.87096,0.97523,0.96856,0.99071,0.99069,0.08598,0.21571,0.38925,0.00604,0.00604,0.00604
22,4381.61,0.05107,0.24596,0.87406,0.97074,0.97671,0.98937,0.98937,0.10234,0.20994,0.39622,0.005842,0.005842,0.005842
23,4570.42,0.04917,0.24135,0.87221,0.96954,0.96978,0.99037,0.99037,0.09175,0.23085,0.39344,0.005644,0.005644,0.005644
24,4763.94,0.04632,0.23318,0.87106,0.97407,0.9747,0.98919,0.98919,0.08617,0.21205,0.39141,0.005446,0.005446,0.005446
25,4963.65,0.04531,0.23087,0.87141,0.97077,0.96432,0.98765,0.98765,0.08983,0.24205,0.39521,0.005248,0.005248,0.005248
26,5159.32,0.04605,0.2318,0.87238,0.96776,0.97434,0.98382,0.98382,0.09508,0.25006,0.39426,0.00505,0.00505,0.00505
27,5360.18,0.043,0.22267,0.8714,0.9776,0.96706,0.98787,0.98787,0.10412,0.26465,0.39797,0.004852,0.004852,0.004852
28,5553.57,inf,0.22091,0.87184,0.96502,0.9714,0.98928,0.98928,0.07935,0.2351,0.38333,0.004654,0.004654,0.004654
29,5739.86,0.03992,0.21765,0.87106,0.97255,0.97854,0.98991,0.98988,0.08251,0.22358,0.38756,0.004456,0.004456,0.004456
30,5925.97,0.03911,0.21592,0.87065,0.9699,0.96932,0.98911,0.98911,0.0842,0.23376,0.39029,0.004258,0.004258,0.004258
31,6112.84,inf,0.2127,0.8714,0.97068,0.97124,0.98996,0.98996,0.08641,0.23124,0.38856,0.00406,0.00406,0.00406
32,6298.94,0.03718,0.2145,0.86919,0.96868,0.96961,0.98936,0.98936,0.08779,0.24575,0.39049,0.003862,0.003862,0.003862
33,6485.39,inf,0.20572,0.86919,0.97462,0.97238,0.98884,0.98884,0.07229,0.2258,0.37645,0.003664,0.003664,0.003664
34,6671.47,0.03441,0.20335,0.86968,0.96934,0.9727,0.9895,0.9895,0.07874,0.24061,0.38012,0.003466,0.003466,0.003466
35,6857.87,0.03388,0.2008,0.87083,0.97604,0.96795,0.99085,0.99084,0.0771,0.22146,0.37864,0.003268,0.003268,0.003268
36,7044.66,0.03084,0.19606,0.87115,0.96816,0.97198,0.99035,0.99035,0.0859,0.25102,0.3865,0.00307,0.00307,0.00307
37,7231.13,0.02987,0.19468,0.86837,0.97258,0.97493,0.99039,0.99039,0.08313,0.22161,0.38404,0.002872,0.002872,0.002872
38,7417.26,0.02952,0.19322,0.86915,0.97667,0.97249,0.99156,0.99156,0.08332,0.22629,0.38364,0.002674,0.002674,0.002674
39,7603.88,inf,0.18473,0.86814,0.97225,0.97476,0.99108,0.99108,0.07666,0.2287,0.38052,0.002476,0.002476,0.002476
40,7789.84,inf,0.18596,0.86797,0.97585,0.97305,0.9919,0.9919,0.07335,0.2157,0.3762,0.002278,0.002278,0.002278
41,7977.59,0.02885,0.0682,0.85453,0.9745,0.97022,0.99123,0.99123,0.07513,0.21899,0.38141,0.00208,0.00208,0.00208
42,8162.53,0.02691,0.05375,0.85397,0.97251,0.97447,0.99166,0.99166,0.07262,0.20906,0.37892,0.001882,0.001882,0.001882
43,8347.55,0.02445,0.05038,0.85179,0.97182,0.97383,0.99136,0.99136,0.07082,0.22322,0.37577,0.001684,0.001684,0.001684
44,8532.46,0.02272,0.04571,0.85217,0.97184,0.97147,0.98899,0.98899,0.06495,0.21134,0.36721,0.001486,0.001486,0.001486
45,8717.32,0.02174,0.04183,0.8511,0.96919,0.97368,0.98685,0.98685,0.05189,0.20475,0.34901,0.001288,0.001288,0.001288
46,8902.52,0.01952,0.0382,0.85204,0.97974,0.95968,0.9885,0.9885,0.0384,0.19741,0.33207,0.00109,0.00109,0.00109
47,9087.65,0.01817,0.03523,0.85166,0.97422,0.96781,0.98827,0.98827,0.03132,0.18287,0.32179,0.000892,0.000892,0.000892
48,9272.61,0.01711,0.03269,0.85076,0.9762,0.96614,0.9881,0.9881,0.02892,0.18514,0.31769,0.000694,0.000694,0.000694
49,9457.7,0.0148,0.02849,0.85091,0.97518,0.97001,0.9879,0.9879,0.02371,0.17895,0.31109,0.000496,0.000496,0.000496
50,9642.71,0.01314,0.02493,0.85215,0.97329,0.97352,0.9876,0.9876,0.02383,0.18001,0.30995,0.000298,0.000298,0.000298
